,phase,match_no,date,venue,batting_team,bowling_team,innings,over,striker,bowler,runs_of_bat,extras,wide,legbyes,byes,noballs,wicket_type,player_dismissed,fielder,total_runs,over_number
0,Powerplay,1.0,2026-03-28,"M.Chinnaswamy Stadium, Bengaluru",SRH,RCB,1.0,0.1,Travis Head,Jacob Duffy,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,1
1,Powerplay,1.0,2026-03-28,"M.Chinnaswamy Stadium, Bengaluru",SRH,RCB,1.0,0.2,Travis Head,Jacob Duffy,1.0,0.0,0.0,0.0,0.0,0.0,,,,1.0,1
2,Powerplay,1.0,2026-03-28,"M.Chinnaswamy Stadium, Bengaluru",SRH,RCB,1.0,0.3,Abhishek Sharma,Jacob Duffy,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,1
3,Powerplay,1.0,2026-03-28,"M.Chinnaswamy Stadium, Bengaluru",SRH,RCB,1.0,0.4,Abhishek Sharma,Jacob Duffy,6.0,0.0,0.0,0.0,0.0,0.0,,,,6.0,1
4,Powerplay,1.0,2026-03-28,"M.Chinnaswamy Stadium, Bengaluru",SRH,RCB,1.0,0.5,Abhishek Sharma,Jacob Duffy,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,1
5,Powerplay,1.0,2026-03-28,"M.Chinnaswamy Stadium, Bengaluru",SRH,RCB,1.0,0.6,Abhishek Sharma,Jacob Duffy,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,1
6,Powerplay,1.0,2026-03-28,"M.Chinnaswamy Stadium, Bengaluru",SRH,RCB,1.0,1.1,Travis Head,Bhuvneshwar Kumar,1.0,0.0,0.0,0.0,0.0,0.0,,,,1.0,2
7,Powerplay,1.0,2026-03-28,"M.Chinnaswamy Stadium, Bengaluru",SRH,RCB,1.0,1.2,Abhishek Sharma,Bhuvneshwar Kumar,1.0,0.0,0.0,0.0,0.0,0.0,,,,1.0,2
8,Powerplay,1.0,2026-03-28,"M.Chinnaswamy Stadium, Bengaluru",SRH,RCB,1.0,1.3,Travis Head,Bhuvneshwar Kumar,1.0,0.0,0.0,0.0,0.0,0.0,,,,1.0,2
9,Powerplay,1.0,2026-03-28,"M.Chinnaswamy Stadium, Bengaluru",SRH,RCB,1.0,1.4,Abhishek Sharma,Bhuvneshwar Kumar,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,2
